contact_id,first_name,last_name,email,account_id,job_title,country,region,industry,lifecycle_stage,lead_score,engagement_score,consent_status
CON-000001,Alyssa,Wang,contact1@example.test,ACC-00927,CIO,France,Europe,Financial Services,MQL,61,93,Opted In
CON-000002,Yvonne,Dickson,contact2@example.test,ACC-00147,Director of Technology,South Africa,AMEA,Financial Services,Customer,4,58,Not Subscribed
CON-000003,Craig,Sandoval,contact3@example.test,ACC-00005,Scrum Master,United States,WW,Agriculture,Opportunity,11,42,Not Subscribed
CON-000004,Joseph,Velasquez,contact4@example.test,ACC-00106,CIO,India,WW,Technology,Opportunity,97,39,Opted In
CON-000005,Samantha,Brown,contact5@example.test,ACC-00206,Product Owner,Kenya,AMEA,Manufacturing,Opportunity,40,98,Not Subscribed
CON-000006,Wendy,Robinson,contact6@example.test,ACC-00280,Software Engineer,United Kingdom,WW,Manufacturing,Known,1,79,Opted In
CON-000007,Meghan,Salinas,contact7@example.test,ACC-00556,Project Manager,Singapore,APAC,Manufacturing,Engaged,90,36,Opted In
CON-000008,Michael,Combs,contact8@example.test,ACC-00073,Scrum Master,Singapore,APAC,Professional Services,SQL,6,16,Opted In
CON-000009,Megan,Thompson,contact9@example.test,ACC-00925,IT Manager,Germany,Europe,Education,Known,11,54,Not Subscribed
CON-000010,Brittany,Drake,contact10@example.test,ACC-00722,Training Manager,Japan,APAC,Professional Services,MQL,39,42,Opted In
CON-000011,Heidi,Sloan,contact11@example.test,ACC-00998,Operations Manager,Germany,WW,Financial Services,Known,89,59,Opted In
CON-000012,Anthony,Haynes,contact12@example.test,ACC-00318,Operations Manager,Spain,Europe,Financial Services,Engaged,18,78,Opted In
CON-000013,Stacey,Elliott,contact13@example.test,ACC-00402,Software Engineer,Kenya,AMEA,Manufacturing,SQL,62,3,Opted In
CON-000014,Anna,Lopez,contact14@example.test,ACC-00116,Project Manager,Spain,Europe,Education,Engaged,36,98,Opted In
CON-000015,Vanessa,Keith,contact15@example.test,ACC-00521,Director of Technology,Japan,APAC,Agriculture,Known,41,71,Opted In
CON-000016,Travis,Parker,contact16@example.test,ACC-00546,Operations Manager,Saudi Arabia,AMEA,Professional Services,SQL,30,79,Opted In
CON-000017,Tracy,Davis,contact17@example.test,ACC-00998,Operations Manager,Japan,APAC,Technology,MQL,26,88,Not Subscribed
CON-000018,Jesse,Robinson,contact18@example.test,ACC-00581,Project Manager,Italy,Europe,Agriculture,Engaged,22,84,Opted In
CON-000019,Alisha,Smith,contact19@example.test,ACC-00118,Training Manager,Italy,Europe,Education,MQL,71,12,Not Subscribed
CON-000020,Samantha,Harris,contact20@example.test,ACC-00316,Marketing Manager,India,APAC,Professional Services,Known,87,76,Not Subscribed
CON-000021,David,Love,contact21@example.test,ACC-00507,IT Manager,United Arab Emirates,AMEA,Financial Services,Engaged,74,96,Opted In
CON-000022,Samantha,Richard,contact22@example.test,ACC-00677,Software Engineer,Japan,APAC,Professional Services,MQL,49,78,Not Subscribed
CON-000023,Marcus,Johnson,contact23@example.test,ACC-00211,Project Manager,Singapore,APAC,Professional Services,Customer,38,55,Opted In
CON-000024,Brenda,Stark,contact24@example.test,ACC-00597,IT Manager,Germany,WW,Professional Services,SQL,16,37,Opted In
CON-000025,Kim,Mathis,contact25@example.test,ACC-00923,CIO,United Arab Emirates,AMEA,Technology,Customer,71,45,Opted In
CON-000026,Michelle,Yu,contact26@example.test,ACC-00887,IT Manager,South Africa,AMEA,Education,Customer,75,50,Opted In
CON-000027,Nathaniel,Mcmahon,contact27@example.test,ACC-00416,Marketing Manager,Spain,Europe,Professional Services,Engaged,84,22,Not Subscribed
CON-000028,Randall,Garcia,contact28@example.test,ACC-00193,CIO,Japan,APAC,Manufacturing,SQL,19,36,Opted In
CON-000029,Kevin,Taylor,contact29@example.test,ACC-00012,Director of Technology,India,APAC,Financial Services,Customer,62,84,Not Subscribed
CON-000030,Eric,Fry,contact30@example.test,ACC-00087,Software Engineer,Japan,APAC,Education,Customer,77,54,Opted In
CON-000031,Latoya,Yu,contact31@example.test,ACC-00522,Marketing Manager,Italy,Europe,Education,SQL,45,28,Opted In
CON-000032,Debra,Thompson,contact32@example.test,ACC-00620,IT Manager,Italy,Europe,Education,Customer,30,91,Opted In
CON-000033,Tanya,Steele,contact33@example.test,ACC-00949,CIO,Italy,Europe,Manufacturing,Known,4,72,Not Subscribed
CON-000034,Sarah,Buchanan,contact34@example.test,ACC-00116,Training Manager,Saudi Arabia,AMEA,Agriculture,Known,18,93,Opted In
CON-000035,Jeffrey,Chapman,contact35@example.test,ACC-00530,Director of Technology,Italy,Europe,Professional Services,Known,31,60,Opted In
CON-000036,Gregory,Parker,contact36@example.test,ACC-00628,IT Manager,Kenya,AMEA,Professional Services,Known,60,58,Not Subscribed
CON-000037,Haley,Anderson,contact37@example.test,ACC-00432,Project Manager,Kenya,AMEA,Manufacturing,Engaged,4,88,Opted In
CON-000038,Jessica,Rush,contact38@example.test,ACC-00063,Operations Manager,South Africa,AMEA,Professional Services,Known,84,37,Opted In
CON-000039,Stacy,Myers,contact39@example.test,ACC-00497,Director of Technology,South Africa,AMEA,Professional Services,Known,100,35,Opted In
CON-000040,Virginia,Sanford,contact40@example.test,ACC-00631,Scrum Master,Singapore,APAC,Manufacturing,Known,94,14,Opted In
CON-000041,Antonio,Guzman,contact41@example.test,ACC-00675,Operations Manager,Singapore,APAC,Financial Services,MQL,100,89,Opted In
CON-000042,Samantha,Ponce,contact42@example.test,ACC-00186,CIO,Germany,Europe,Manufacturing,Known,18,76,Opted In
CON-000043,Jeffrey,Cunningham,contact43@example.test,ACC-00771,Marketing Manager,Spain,Europe,Financial Services,Customer,56,92,Opted In
CON-000044,Sharon,Taylor,contact44@example.test,ACC-00592,Project Manager,India,APAC,Agriculture,MQL,96,14,Opted In
CON-000045,Julie,Young,contact45@example.test,ACC-00476,Marketing Manager,Japan,APAC,Manufacturing,SQL,95,96,Opted In
CON-000046,Toni,Jackson,contact46@example.test,ACC-00700,Marketing Manager,Spain,Europe,Manufacturing,Engaged,67,55,Opted In
CON-000047,Nicole,Davis,contact47@example.test,ACC-00950,Operations Manager,Saudi Arabia,AMEA,Agriculture,MQL,67,87,Opted In
CON-000048,Jenna,Fowler,contact48@example.test,ACC-00940,CIO,India,WW,Education,Opportunity,83,34,Opted In
CON-000049,Olivia,Griffin,contact49@example.test,ACC-00274,Director of Technology,Kenya,AMEA,Agriculture,Opportunity,50,59,Opted In
CON-000050,Joseph,Wright,contact50@example.test,ACC-00533,Project Manager,Australia,APAC,Manufacturing,Opportunity,1,86,Opted In
CON-000051,Carlos,Scott,contact51@example.test,ACC-00013,Marketing Manager,United States,WW,Professional Services,Known,87,57,Opted In
